half the normal number of chromosomes,haploid
passing on of traits from parents to offspring,heredity
possessing different alleles for a trait,heterozygous
possessing identical alleles for a trait,homozygous
offspring of distantly related species or different species,hybrid
dominance in which there is phenotypic blending of two alleles,incomplete
position on the chromosome where the alleles are located,locus
outward appearance of an individual,phenotype
another name for offspring,progeny
graph used to calculate the percentages of offspring with particular genotypes,punnett square
allele that is not expresses in the phenotype unless the individual is homozygous,recessive
